P/DD,TPPip,LAP1300,BrkOutPip1300,ChanFactor1300,AnalysisMin1300,HourEnd1300
113.4306569343,70,200,40,200,300,3
194,70,190,200,80,1080,8
306.7193675889,70,190,120,40,780,7
101.8396846255,80,180,120,200,660,11
257.1428571429,60,190,120,80,720,10
94.1391941392,70,90,120,200,420,17
137.9248658318,70,200,40,200,660,1
67.6031606673,90,90,180,160,1380,22
193.6868686869,70,200,60,80,540,7
82.9189189189,70,80,60,120,60,16
152.0874751491,80,180,200,180,1380,4
307.2580645161,90,190,200,200,660,18
221.2209302326,70,200,200,20,1020,1
65.1762682717,80,200,140,200,660,1
304.8387096774,90,190,200,140,780,18
56.3106796117,100,90,180,160,1260,11
116.4086687307,100,90,140,80,1080,17
67.29390681,80,190,100,200,360,5
90.4704463209,80,190,20,180,360,10
85.1305334847,100,90,80,200,420,17
62.2814321399,70,90,160,200,660,23
205.8011049724,50,200,80,80,720,1
300,80,190,100,160,660,20
175.4716981132,80,190,120,40,780,7
191.4948453608,100,200,140,40,780,7
191.4948453608,100,200,140,40,780,1
148.6973947896,100,80,100,120,480,16
62.1123218776,50,180,200,120,60,16
98.1456953642,70,190,180,200,720,7
60.391198044,100,180,140,200,360,5
144.7937131631,100,120,160,100,180,15
104.5779685265,70,180,40,200,660,4
65.1745747538,80,190,100,160,240,1
171.4622641509,100,190,120,40,780,7
303.7656903766,100,80,120,200,660,15
277.0992366412,80,200,40,120,540,22
67.3791821561,100,180,140,80,540,6
220.0607902736,70,190,60,80,1080,8
220.0607902736,70,190,60,80,1080,9
103.2904148784,70,190,120,120,480,5
135.9168241966,100,180,200,200,360,16
300.4184100418,100,80,100,200,600,15
96.2365591398,100,80,20,180,1020,17
123.2358003442,80,90,40,200,540,18
178.3042394015,90,190,200,20,780,18
288.3064516129,60,190,140,120,480,19
115.9349593496,80,190,100,160,1020,7
115.9349593496,80,190,100,160,1020,9
252.8368794326,70,190,60,80,840,1
142.6853707415,60,90,120,60,540,16
122.0689655172,70,190,140,180,660,2
159.8194130926,70,200,200,80,720,1
246.6898954704,80,190,100,200,420,17
89.2676767677,100,90,140,60,960,20
224.6794871795,60,200,60,160,1020,9
365.9685863874,80,200,200,200,1020,23
102.3494860499,70,70,160,200,1200,16
376.0869565217,70,200,200,160,900,22
470.7482993197,90,180,140,100,180,15
56.1990212072,80,190,100,200,300,3
70.7091469681,100,170,200,160,900,22
152.2123893805,80,90,40,120,480,16
375.956284153,90,170,160,100,180,15
74.2671009772,100,90,20,160,840,22
96.1971830986,70,80,140,80,960,23
51.708428246,70,190,160,120,240,1
104.6082949309,50,200,200,160,900,1
455.7046979866,70,180,140,160,1380,5
455.7046979866,70,180,60,180,1380,4
81.686746988,80,90,40,180,540,21
240.4255319149,80,180,200,160,900,18
99.4126284875,50,130,20,80,1260,6
116.955017301,80,90,40,160,1020,22
459.8639455782,80,180,200,100,180,15
272.5806451613,70,190,120,160,660,20
74.7228381375,70,190,60,160,240,1
83.9799749687,80,90,40,160,900,22
110.5610561056,70,200,80,60,240,1
90.3924221922,80,180,100,120,780,11
75.4545454545,90,190,40,40,180,19
267.3387096774,80,190,100,200,660,18
267.3387096774,80,190,100,180,660,18
396.4071856287,100,90,80,80,1440,17
356.5217391304,70,200,200,200,660,20
114.2857142857,60,90,120,160,1020,16
354.0540540541,70,200,200,80,780,20
83.8046272494,90,90,180,180,1380,18
280.6034482759,90,200,120,200,540,18
52.2891566265,90,90,200,160,1380,22
214.5695364238,100,200,20,160,1020,23
84.1352405722,90,90,180,40,840,23
109.337860781,80,190,100,100,840,7
166.2337662338,80,90,20,160,1380,20
182.8571428571,50,200,80,80,840,5
392.0245398773,80,190,40,40,1020,17
114.3884892086,60,190,40,80,540,10
97.8227060653,80,190,100,160,720,1
187.8787878788,70,200,80,160,900,1
193.75,70,200,160,80,960,7
201.6286644951,50,200,80,160,1020,9
625.2525252525,100,90,180,200,540,15
256.4315352697,100,80,200,140,720,15
47.3076923077,70,90,120,180,1020,23
56.586270872,70,30,140,80,720,10
135.8574610245,100,190,60,80,1080,9
101.3333333333,60,200,40,160,300,8
199.3442622951,50,190,120,80,720,10
251.867219917,80,80,80,200,600,15
251.867219917,80,80,140,200,600,15
141.7840375587,100,190,60,20,360,17
702.3255813953,90,90,40,200,600,15
69.918699187,80,90,140,80,960,23
60.7070707071,60,180,140,120,60,16
74.2892459827,60,80,120,60,960,20
53.0973451327,70,190,60,60,240,1
67.9545454545,60,180,160,140,540,1
177.9761904762,100,200,20,180,1020,23
68.5419058553,100,90,100,180,240,16
88.4272997033,50,40,200,80,1020,16
115.2804642166,70,190,60,120,480,11
202.7210884354,100,190,60,200,540,18
239.9193548387,60,190,140,200,660,19
294.5544554455,70,190,80,200,1020,21
245.4545454545,90,80,200,140,720,15
209.219858156,70,180,200,160,900,18
209.219858156,70,180,140,160,900,18
79.4594594595,80,200,40,200,300,3
236.6935483871,50,190,180,120,480,19
71.3244228433,100,80,120,200,1140,16
454.2635658915,90,200,60,80,660,18
47.2874493927,90,90,200,40,780,7
165.625,100,90,40,200,300,15
88.8549618321,100,90,140,20,780,17
390.6040268456,60,180,120,180,1380,4
65.2808988764,80,80,80,120,300,18
61.7021276596,90,200,160,180,1200,1
186.7313915858,90,190,180,80,960,23
175.3799392097,60,190,60,80,1080,9
110.556621881,100,170,80,160,360,18
69.5652173913,80,190,100,180,660,2
69.5652173913,80,190,100,180,660,1
366.8789808917,80,200,40,200,540,18
338.8235294118,80,200,40,160,900,22
53.7453183521,70,190,40,40,780,11
161.8644067797,70,190,120,40,240,23
109.4049904031,70,200,80,140,540,1
304.3010752688,60,200,80,160,900,22
304.3010752688,60,200,60,160,900,22
173.6196319018,70,190,60,180,1020,8
64.2285714286,70,190,100,200,660,1
230.5785123967,70,80,120,200,600,15
230.5785123967,70,80,100,200,600,15
73.8726790451,100,90,140,80,420,17
55.1485148515,50,80,180,200,1200,17
94.3781942078,70,200,60,200,600,7
643.023255814,80,90,40,200,660,15
192.0138888889,100,190,60,100,360,19
221.7741935484,70,180,120,100,1320,6
122.2972972973,50,200,100,60,300,8
98.9051094891,80,120,180,100,180,15
191.1660777385,70,200,40,200,1200,4
152.8248587571,50,200,80,60,240,1
288.2352941176,70,200,200,60,960,20
139.378238342,50,190,180,80,1080,8
139.378238342,50,190,180,80,1080,9
206.5384615385,50,40,180,100,600,14
280.1047120419,60,200,60,80,1080,8
52.7147087858,100,190,120,200,660,1
53.8383838384,80,80,140,140,780,18
66.7085427136,100,180,140,160,1260,11
170.9677419355,50,200,40,20,1440,1
49.9527856468,70,200,200,160,900,1
45.9130434783,100,90,200,180,480,17
60.0686498856,90,200,60,160,300,3
47.3399458972,80,90,40,140,180,19
105.0200803213,90,200,120,100,360,19
210.8870967742,50,190,120,200,540,18
213.9917695473,80,80,200,140,720,15
329.9363057325,70,200,80,200,540,18
329.9363057325,70,200,200,200,540,18
114.6017699115,70,90,40,120,480,16
76.9345238095,90,130,40,140,180,19
93.4900542495,100,90,40,160,300,17
181.4035087719,100,180,140,140,540,16
146.1756373938,80,180,200,80,960,23
126.0442260442,60,200,60,200,600,22
85.9060402685,90,190,180,120,480,19
93.5779816514,70,90,120,40,780,7
91.8918918919,70,190,120,200,1200,10
92.1818181818,70,130,20,200,1260,6
43.1759656652,80,180,200,120,60,15
211.8644067797,90,200,120,20,1020,17
152.9230769231,50,190,180,60,720,3
35.9272727273,80,80,140,160,300,18
287.7192982456,70,200,40,160,900,22
63.6481241915,80,200,40,200,660,1
117.5059952038,90,90,40,160,1020,16
46.0812086874,90,170,200,180,840,23
118.1598062954,60,180,60,140,120,16
135,100,190,60,200,660,18
162.0805369128,80,180,100,100,1380,11
62.4838292367,100,90,40,160,900,22
35.6245380636,100,90,140,160,1320,20
69.1091954023,80,190,100,60,240,1
126.3157894737,70,130,20,160,1380,6
196.3114754098,60,80,160,200,600,15
101.0570824524,60,90,120,40,720,22
161.1486486486,70,200,80,100,1140,2
228.3653846154,50,200,200,20,1440,1
112.5890736342,50,190,180,80,720,10
89.224952741,50,200,180,20,1020,1
119.0355329949,90,200,120,80,300,19
50.2141327623,70,200,200,100,420,1
125.1336898396,50,100,40,120,480,19
212.2727272727,70,200,40,160,1260,11
38.1030253475,100,180,140,180,360,4
106.4073226545,70,200,80,80,720,10
186.6935483871,50,190,200,180,840,18
196.1538461538,100,200,100,100,300,16
196.1538461538,100,200,80,200,300,16
73.0769230769,50,100,40,160,660,20
118.1347150259,80,200,40,200,660,22
59.4240837696,100,190,80,200,660,10
61.0215053763,100,80,80,80,1080,21
240.9574468085,70,180,40,180,1380,4
150.6666666667,100,90,40,160,1440,20
247.2527472527,50,170,180,20,1440,1
74.6666666667,50,70,160,160,1200,16
46.5212876428,60,90,120,180,1380,22
155.5944055944,80,80,140,120,1020,15
78.6856127886,80,200,80,180,660,1
38.1239242685,90,90,200,160,1200,20
217.1568627451,50,190,120,200,1020,21
217.1568627451,50,190,200,180,1020,21
189.3162393162,80,80,140,100,1140,15
217.1568627451,50,190,180,200,1020,22
217.1568627451,50,190,120,180,1020,21
86.328125,100,180,140,160,1380,4
341.8604651163,70,200,200,200,660,18
341.8604651163,70,200,80,200,660,18
341.8604651163,70,200,60,200,660,18
341.8604651163,70,200,80,80,660,18
276.7295597484,80,80,140,160,900,15
145.8193979933,90,190,200,60,960,20
87.3493975904,60,190,120,180,540,21
31.6363636364,50,40,200,120,480,19
131.914893617,70,190,60,200,1200,1
79.4495412844,70,190,60,180,660,11
219.2893401015,80,190,100,60,960,20
228.7234042553,50,200,160,180,960,23
76.7985611511,70,180,40,160,480,4
64.2533936652,70,200,80,20,1020,1
33.0727130571,100,190,60,200,300,3
50.5376344086,50,190,100,200,300,8
220.3125,50,200,180,200,1020,23
123.2352941176,50,100,40,120,300,18
123.0088495575,100,80,100,20,540,15
63.3738601824,100,120,160,80,1440,10
48.875739645,80,90,140,160,1200,20
76.2962962963,100,180,120,200,1380,6
57.4825174825,80,190,200,160,300,18
68.9189189189,50,130,20,140,1140,8
63.59375,100,180,140,200,540,18
47.2642607683,50,190,180,200,660,10
427.3684210526,100,200,160,160,1020,17
75.7973733583,70,180,40,80,1440,10
232.3699421965,70,200,200,160,900,18
109.2391304348,100,130,40,160,1200,20
38.045540797,100,90,180,160,1200,20
102.2959183673,90,100,100,60,540,16
50.5703422053,100,90,180,160,1380,17
138.8111888112,70,80,100,120,1020,15
168.3760683761,90,200,120,200,300,16
75,90,170,80,160,360,18
111.0169491525,70,190,60,160,1020,8
93.7947494033,70,200,200,60,1200,1
53.7722908093,80,190,100,200,840,7
42.8728070175,100,200,140,180,1140,1
68.430335097,100,140,40,140,120,16
196.4467005076,70,190,100,60,960,20
184.6889952153,100,200,200,20,1440,1
56.5537555228,100,90,180,100,1440,22
119.6875,90,170,200,100,1380,23
44.0599769319,70,180,60,140,540,5
53.661971831,60,180,160,160,1020,9
58.1679389313,50,80,120,80,960,23
54.8991354467,90,170,200,200,1440,23
56.3798219585,80,180,120,160,660,20
68.1735985533,100,190,60,160,1020,10
198.9361702128,50,200,160,200,480,17
198.9361702128,50,200,200,180,480,17
198.9361702128,50,200,160,180,480,17
396.8085106383,50,200,160,180,540,17
134.7826086957,100,190,140,20,780,18
170.9677419355,60,170,20,200,300,16
76.397515528,70,90,120,40,780,22
87.648456057,90,190,100,160,900,18
67.3357664234,80,80,80,80,1080,17
40.5049396268,80,190,100,200,660,7
40.5049396268,80,190,100,200,660,1
40.5049396268,80,190,100,200,660,4
118.7096774194,80,200,40,160,360,18
65.5913978495,90,170,160,180,1380,4
65.5913978495,90,170,160,180,1380,10
224.5398773006,90,80,200,20,720,15
56.5217391304,100,90,140,40,300,17
315.652173913,60,90,120,140,720,15
62.8919860627,100,180,140,40,720,7
122.4489795918,70,190,60,200,540,18
159.5555555556,70,190,140,60,960,20
89.0274314214,80,200,40,40,1020,17
46.9656992084,80,190,200,180,540,21
88.3374689826,60,100,100,60,540,16
171.4975845411,80,190,60,100,180,15
26.8348623853,80,80,200,80,720,10
55.2380952381,70,90,40,200,540,18
51.4157973174,70,200,160,80,540,7
147.4358974359,50,200,80,80,1260,1
32.5757575758,80,90,40,80,540,18
41.4752116082,70,90,180,180,1380,18
92.9539295393,60,200,20,200,780,6
66.2790697674,50,190,200,80,720,10
40.2843601896,90,130,20,200,300,3
39.4889663182,50,40,200,80,1260,6
136.4372469636,50,80,200,140,720,15
161.0576923077,80,190,100,180,1020,17
48.7591240876,70,190,160,200,660,1
51.632970451,80,190,100,160,900,7
51.632970451,80,190,100,160,900,6
65.8682634731,60,200,40,40,1020,1
347.3684210526,70,200,200,180,1020,17
129.9212598425,70,190,160,60,960,20
32.3846908734,100,120,160,180,1380,4
53.1604538088,100,180,140,200,1380,11
40.644361834,50,130,20,160,1020,9
40.1985111663,90,190,40,100,840,7
169.6335078534,80,200,40,80,840,16
368.1818181818,50,90,40,200,600,15
28.2208588957,100,170,140,160,900,22
44.5062586926,100,190,200,160,300,17
37.5442739079,80,180,140,100,720,4
231.1111111111,80,190,100,200,300,15
57.9737335835,100,130,20,80,1260,21
61.9433198381,70,130,20,160,900,22
41.7009602195,80,190,100,200,780,7
41.3132694938,80,80,80,80,720,17
127.9661016949,100,190,200,180,660,16
46.2365591398,90,90,40,160,1200,20
51.5570934256,100,180,140,40,780,7
103.4722222222,90,180,140,160,1080,16
59.0099009901,50,190,180,120,300,18
135,100,80,100,60,960,15
59.8790322581,50,190,180,60,480,21
81.9444444444,100,190,60,160,900,22
31.2299465241,70,90,160,80,1080,9
56.7193675889,60,120,160,80,1440,10
95.3177257525,70,190,200,60,960,20
102.1505376344,90,170,160,160,1080,16
39.6648044693,70,130,20,160,960,20
118.9873417722,60,200,60,40,1020,17
287.7551020408,70,130,20,160,660,15
69.3827160494,60,40,140,100,600,14
330.9523809524,50,190,120,100,180,15
48.8536155203,90,180,140,180,1380,4
200,80,90,40,120,1020,15
79.0830945559,90,150,80,40,1200,17
88.141025641,100,170,80,180,480,16
68.25,90,200,60,120,300,18
57.4152542373,90,130,40,180,1020,21
82.8220858896,90,190,120,100,180,15
55.1020408163,70,40,180,100,600,14
45.4391891892,80,80,140,80,1440,17
199.2592592593,80,180,200,200,300,15
74.651810585,60,200,60,120,480,19
26.1208576998,100,90,140,80,1080,8
61.8604651163,50,200,80,180,1140,9
66.4122137405,60,200,80,100,360,20
89.6193771626,80,180,200,160,1020,16
345.3333333333,80,190,100,140,540,16
72.8813559322,70,180,120,100,360,20
34.4966442953,80,180,200,40,780,7
55.8951965066,60,100,40,120,300,18
108.0508474576,80,190,100,200,660,16
21.7202432667,70,90,60,160,900,22
60.1449275362,100,170,20,80,540,16
41.8487394958,70,190,60,200,540,11
31.9895968791,50,100,40,200,660,20
24.039408867,100,90,20,160,900,20
38.0655226209,70,200,40,120,480,1
64.6900269542,50,150,40,200,1200,1
36.5177195686,100,170,180,160,900,18
55.8752997602,90,190,100,160,900,23
86.6171003717,80,190,60,200,300,16
53.3487297921,70,200,60,200,420,17
70.0934579439,90,90,40,160,1380,20
32.4167872648,70,150,100,80,120,16
25.9906759907,100,170,140,160,900,21
16.4933135215,100,90,80,40,720,7
19.5381882771,60,160,160,120,1140,10
63.8483965015,80,190,40,60,1200,23
90.1234567901,100,180,40,180,1380,4
31.6400580552,60,150,40,60,1200,4
227.3684210526,50,200,200,200,1020,17
30.4964539007,60,190,180,180,540,21
39.2335766423,60,190,60,180,660,5
73.5395189003,100,180,200,200,1200,16
19.3430656934,60,80,60,120,60,16
97.6958525346,80,80,80,140,720,15
17.199017199,70,120,100,20,1020,1
23.3183856502,70,190,40,200,240,11
96.2441314554,50,170,20,200,1440,1
70.4467353952,90,180,140,200,1200,16
30.9341500766,70,190,140,120,300,18
29.2397660819,90,120,100,160,1440,8
26.9905533063,80,170,40,80,1200,4
22.9095074456,70,80,120,200,1200,16
100,80,200,100,60,960,20
14.4959529065,100,10,40,160,960,17
38.6,90,130,40,120,480,16
102.6595744681,100,80,100,80,540,15
65.6357388316,80,180,200,200,1140,16
63.7583892617,60,180,160,80,660,18
26.2793914246,90,90,40,200,420,17
21.8244803695,100,180,140,80,1080,9
80.0847457627,90,190,120,160,660,15
67.3835125448,90,170,160,140,720,15
57.3619631902,90,170,160,160,1380,20
69.8113207547,90,160,80,160,660,15
15.3266331658,90,170,200,120,780,23
21.5639810427,70,200,80,40,780,7
36.2549800797,60,40,180,100,600,14
12.7840909091,80,190,100,120,300,2
15.6657963446,90,70,160,80,960,23
28.4810126582,50,190,180,100,720,10
16.3043478261,60,40,180,80,1260,6
39.9103139013,90,200,120,80,1080,9
104.7058823529,90,80,40,140,720,15
75.7446808511,80,190,180,200,600,15
75.7446808511,80,190,100,200,600,15
182.2916666667,70,200,200,160,1020,16
182.2916666667,70,200,160,160,1080,16
15.8525345622,90,70,140,100,420,19
28.3828382838,50,190,120,100,660,10
19.0635451505,100,110,80,20,360,17
22.1932114883,50,190,80,40,780,7
73.5930735931,60,80,60,200,600,15
36.7391304348,80,190,100,120,300,18
80,50,170,20,20,1020,16
69.0677966102,80,190,100,160,660,15
440.5405405405,80,190,100,160,1080,16
12.1009651076,70,180,120,200,180,22
317.6470588235,80,180,200,160,1380,20
56.0553633218,80,180,200,200,600,15
37.1559633028,70,190,60,120,480,19
50.9615384615,50,180,200,100,1320,20
69.4323144105,50,190,120,80,1440,10
67.5324675325,60,190,40,200,540,18
17.7676537585,50,130,120,160,240,2
12.8737541528,50,90,120,180,1380,10
15.5085599194,50,80,180,80,960,23
30.1960784314,70,130,20,140,1440,6
18.8725490196,70,90,60,180,1080,8
300,50,190,120,160,1200,20
392.3076923077,70,120,100,200,1200,16
298.0392156863,70,180,200,160,1380,20
298.0392156863,70,180,140,160,1380,20
12.5938281902,80,90,200,160,1200,20
14.2447418738,80,90,40,160,1020,9
10.5714285714,90,10,200,100,1440,17
61.8644067797,70,200,80,200,600,15
61.8644067797,70,200,200,200,600,15
38.2585751979,100,200,140,80,1260,6
150,70,200,80,200,660,16
389.1891891892,70,190,60,160,1020,16
28.2352941176,100,170,20,20,1080,17
15.8011049724,100,90,180,20,360,17
18.3804627249,80,180,200,120,300,18
90.5063291139,70,160,80,140,720,15
27.3422562141,90,130,40,200,1020,21
189.3333333333,70,190,120,80,840,16
55.2529182879,70,190,60,160,660,20
18.75,80,180,200,120,480,5
14.570230608,100,180,60,100,360,5
50.5454545455,100,200,80,100,240,16
25.9813084112,50,190,200,40,1260,7
132.6923076923,50,200,200,20,960,17
29.2993630573,60,200,160,80,1260,6
14.875135722,70,200,80,180,360,10
39.7014925373,100,190,60,100,180,15
70.0534759358,50,170,80,100,180,15
21.5231788079,60,200,60,40,780,7
43.4482758621,100,200,180,20,300,16
18.0774748924,60,160,160,180,1380,4
47.0149253731,50,170,160,140,720,15
25.6198347107,60,190,140,200,1200,16
310,60,190,20,120,1260,15
42.5531914894,70,180,60,200,660,17
44.0298507463,50,170,80,160,660,15
16.765578635,90,190,180,160,900,18
27.989821883,100,200,180,20,240,16
49.5495495495,50,200,200,20,240,17
41.0447761194,50,170,160,200,600,15
13.7055837563,70,180,40,120,540,4
26.6666666667,50,200,80,20,1020,17
19.5298372514,100,130,40,80,1200,19
25.4716981132,60,170,20,100,180,15
7.8374455733,100,180,140,120,300,6
15.484804631,50,130,20,200,660,8
110.4166666667,50,200,180,200,660,16
31.914893617,70,180,40,200,660,18
13.7203166227,70,200,60,180,360,4
16.7207792208,90,170,160,140,1140,20
255,50,190,20,120,1260,15
13.1274131274,90,180,140,120,300,18
25.1889168766,80,90,40,180,1380,18
10.6911447084,70,90,120,80,960,22
18.9189189189,50,90,40,200,480,16
22.7272727273,80,190,100,160,900,22
32.1799307958,50,190,180,60,1140,22
8.7786259542,70,170,120,160,900,22
94.7916666667,90,200,200,160,660,15
94.7916666667,90,200,160,60,720,15
54.4910179641,70,160,80,80,840,16
10.6007067138,100,90,40,160,900,23
7.7056277056,70,60,140,160,1380,20
7.5487701442,50,90,40,160,1020,9
27.0186335404,80,90,40,160,1380,20
18.6403508772,90,110,60,100,180,15
9.9635479951,90,80,200,20,1020,1
405,80,190,100,140,720,15
70.4347826087,80,150,160,80,1440,15
22.0385674931,60,190,40,120,480,19
83.3333333333,80,200,60,140,720,15
30,50,90,120,40,1200,17
10.9489051095,70,170,80,200,540,18
12.5850340136,70,200,200,80,1260,6
77.0833333333,70,200,200,140,720,15
6.3203463203,90,70,160,80,540,23
33.9534883721,80,200,20,200,540,16
12.6537785589,70,90,120,40,780,23
14.3426294821,50,200,80,20,1020,1
14.3426294821,50,200,40,40,1020,1
7.1644803229,80,90,160,160,1200,20
355,70,190,60,120,1260,15
61.7391304348,70,150,160,80,1440,15
9.9290780142,70,200,200,180,1380,18
15.144766147,70,170,180,80,1020,17
33.8383838384,50,130,120,40,1200,17
14.8888888889,70,180,80,120,300,18
4.431736955,100,170,180,160,900,22
9.1317365269,70,180,60,200,600,4
63.5416666667,60,200,180,160,660,15
63.5416666667,60,200,60,140,720,15
22.5563909774,60,190,60,160,1380,12
10.4347826087,70,190,160,20,1020,1
15.7754010695,80,180,80,80,660,18
5.4211035818,100,90,20,160,900,21
4.4388609715,100,190,60,40,780,7
28.9617486339,90,190,40,160,1200,20
4.4388609715,100,190,60,40,780,10
17.5257731959,50,180,200,140,720,15
255,50,190,180,60,720,15
9.0909090909,80,180,100,80,1440,11
7.6779026217,70,130,120,200,1380,20
3.3898305085,90,190,60,160,180,1
11.8343195266,90,200,60,80,240,17
18.691588785,50,190,200,20,1380,22
18.4331797235,70,140,40,80,1440,17
4.3010752688,100,170,140,160,840,20
4.2194092827,70,190,60,40,780,7
16.814159292,90,150,80,40,1200,16
5.4733727811,60,200,20,200,600,7
5.8380414313,50,200,180,80,1260,6
17.816091954,50,170,200,20,1440,23
8.4985835694,80,190,60,180,1440,9
4.0106951872,80,180,200,160,960,20
7.6704545455,100,180,140,100,1380,23
2.7896995708,80,80,20,160,900,22
1.7289073306,100,200,180,120,540,1
3.5561877667,100,190,120,160,900,10
4.8076923077,90,200,60,180,1080,8
2.6726057906,60,120,140,20,1260,11
3.488372093,70,190,100,160,300,17
2.5641025641,100,170,140,160,900,20
11.4942528736,80,180,200,40,780,16
1.3665594855,90,80,200,100,1320,20
2.3774145617,70,130,200,80,1260,6
2.7164685908,60,90,120,40,780,23
1.8703241895,80,80,200,60,240,16
2.0114942529,80,190,100,140,1140,4
1.3888888889,70,190,140,160,900,6
1.4844804318,60,190,120,160,900,6
1.0476190476,90,50,40,160,1440,8
3.95256917,80,90,40,60,720,15
1.5202702703,80,190,100,160,1200,7
1.5202702703,80,190,100,160,1200,4
0.5797101449,70,80,140,100,720,4
0.7957559682,50,190,180,100,540,11
0.6811989101,100,90,120,160,1380,20
2.0920502092,50,90,40,100,180,15
0.3205128205,70,80,160,60,360,22
0,90,200,60,20,1080,2
0,90,90,80,140,1080,4
